timestamp,id,prediction,confidence,command
1479121434.850202,848,normal,0.9999986886978149,NO_ACTION
1479121434.850423,704,normal,1.0,NO_ACTION
1479121434.850977,1072,normal,1.0,NO_ACTION
1479121434.851215,1201,normal,1.0,NO_ACTION
1479121434.851463,497,normal,1.0,NO_ACTION
1479121434.851711,339,normal,1.0,NO_ACTION
1479121434.851963,2,normal,0.9894368648529053,NO_ACTION
1479121434.852202,399,normal,1.0,NO_ACTION
1479121434.852443,304,normal,1.0,NO_ACTION
1479121434.852687,305,normal,0.9999998807907104,NO_ACTION
1479121434.852938,320,normal,1.0,NO_ACTION
1479121434.853167,608,normal,0.9999401569366455,NO_ACTION
1479121434.853403,672,normal,0.9999998807907104,NO_ACTION
1479121434.853633,790,normal,1.0,NO_ACTION
1479121434.853867,809,normal,0.9999927282333374,NO_ACTION
1479121434.854108,1349,normal,1.0,NO_ACTION
1479121434.854947,1087,normal,0.9999994039535522,NO_ACTION
1479121434.855198,880,normal,1.0,NO_ACTION
1479121434.855439,1088,normal,1.0,NO_ACTION
1479121434.860027,704,normal,1.0,NO_ACTION
1479121434.860229,848,normal,0.9999991655349731,NO_ACTION
1479121434.860841,1264,normal,1.0,NO_ACTION
1479121434.861088,2,normal,1.0,NO_ACTION
1479121434.861332,339,normal,1.0,NO_ACTION
1479121434.861704,790,normal,1.0,NO_ACTION
1479121434.861945,399,normal,1.0,NO_ACTION
1479121434.86218,608,normal,0.9986318945884705,NO_ACTION
1479121434.862421,304,normal,0.999994158744812,NO_ACTION
1479121434.862659,305,normal,0.9999994039535522,NO_ACTION
1479121434.862901,320,normal,1.0,NO_ACTION
1479121434.86314,672,normal,1.0,NO_ACTION
1479121434.863375,809,normal,0.9999927282333374,NO_ACTION
1479121434.86362,1349,normal,1.0,NO_ACTION
1479121434.864975,1087,normal,0.9999992847442627,NO_ACTION
1479121434.865226,880,normal,1.0,NO_ACTION
1479121434.865464,1088,normal,1.0,NO_ACTION
1479121434.869976,704,normal,1.0,NO_ACTION
1479121434.870212,848,normal,0.9999990463256836,NO_ACTION
1479121434.870969,1072,normal,1.0,NO_ACTION
1479121434.871216,1201,normal,1.0,NO_ACTION
1479121434.871467,497,normal,1.0,NO_ACTION
1479121434.871712,339,normal,1.0,NO_ACTION
1479121434.871964,2,normal,1.0,NO_ACTION
1479121434.872204,399,normal,1.0,NO_ACTION
1479121434.872437,608,normal,0.9999243021011353,NO_ACTION
1479121434.872674,672,normal,1.0,NO_ACTION
1479121434.872908,790,normal,1.0,NO_ACTION
1479121434.873141,809,normal,0.9999927282333374,NO_ACTION
1479121434.873382,304,normal,1.0,NO_ACTION
1479121434.873623,305,normal,1.0,NO_ACTION
1479121434.873871,320,normal,1.0,NO_ACTION
1479121434.874105,1349,normal,1.0,NO_ACTION
1479121434.874969,1087,normal,0.9999992847442627,NO_ACTION
1479121434.875215,880,normal,1.0,NO_ACTION
1479121434.875457,1088,normal,1.0,NO_ACTION
1479121434.880011,704,normal,1.0,NO_ACTION
1479121434.880214,848,normal,0.9999994039535522,NO_ACTION
1479121434.880957,2,normal,1.0,NO_ACTION
1479121434.881197,339,normal,1.0,NO_ACTION
1479121434.881438,304,normal,0.9999979734420776,NO_ACTION
1479121434.881679,305,normal,1.0,NO_ACTION
1479121434.881927,320,normal,1.0,NO_ACTION
1479121434.882173,399,normal,1.0,NO_ACTION
1479121434.882402,608,normal,0.9999592304229736,NO_ACTION
1479121434.882634,672,normal,1.0,NO_ACTION
1479121434.882865,790,normal,1.0,NO_ACTION
1479121434.883099,809,normal,0.9999927282333374,NO_ACTION
1479121434.883341,1264,normal,1.0,NO_ACTION
1479121434.883583,1349,normal,1.0,NO_ACTION
1479121434.884963,1087,normal,0.9999992847442627,NO_ACTION
1479121434.885213,880,normal,1.0,NO_ACTION
1479121434.885455,1088,normal,1.0,NO_ACTION
1479121434.889964,704,normal,1.0,NO_ACTION
